,coef_Kx,coef_Ky,coef_Kn
0,-0.14439916746189008,0.03606995900433323,-0.6283377964925375
1,-0.08610632807842815,-0.01996010249709805,0.6716534495164306
2,0.06653554961294247,0.002316127550863698,0.19997739241260923
3,-0.08531780525185545,-0.2782127131631161,4.279558522279352
4,1.0673812989142661,-0.15371298018111648,0.9739434002959485
5,0.5528120378614056,0.20419260399961547,-3.266174166715901
6,-0.3960485008884504,0.4062372707030393,-5.350429210562543
7,-0.3335791608251905,0.1292873674509902,-0.09710137455568099
8,-0.16562471678973986,-0.45512312029740903,2.6112952100627087
9,-0.6885739878934716,0.0,0.0
10,-0.3101813848238149,0.0,0.0
11,0.9688790744492985,0.0,0.0
